EGID_chiff;EWID;Belegungsjahr;Bauperiode;Quartiersgruppe;Quartiersgruppe Name;Wohnungsgroesse;Anz_Kinder;Anz_Erwachsene;HH_Typ;HH_Typ_label;Erstellungsjahr
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;9;2012;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;9;2017;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;10;2016;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;11;2012;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;11;2014;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;12;2017;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;14;2013;8022;35;Quartiergruppe Neudorf;3;0;2;5;Haushalte mit zwei Erwachsenen;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;14;2014;8022;35;Quartiergruppe Neudorf;3;0;2;5;Haushalte mit zwei Erwachsenen;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;15;2017;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;15;2019;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;16;2014;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;16;2017;8022;35;Quartiergruppe Neudorf;2;0;2;5;Haushalte mit zwei Erwachsenen;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;17;2016;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;20;2017;8022;35;Quartiergruppe Neudorf;3;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;21;2012;8022;35;Quartiergruppe Neudorf;3;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;21;2014;8022;35;Quartiergruppe Neudorf;3;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;22;2017;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;22;2018;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;23;2015;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;24;2013;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;24;2014;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;24;2016;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;24;2019;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;25;2017;8022;35;Quartiergruppe Neudorf;2;0;2;5;Haushalte mit zwei Erwachsenen;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;26;2016;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;26;2019;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;27;2016;8022;35;Quartiergruppe Neudorf;3;0;2;5;Haushalte mit zwei Erwachsenen;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;28;2014;8022;35;Quartiergruppe Neudorf;6;0;2;5;Haushalte mit zwei Erwachsenen;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;28;2016;8022;35;Quartiergruppe Neudorf;6;0;2;5;Haushalte mit zwei Erwachsenen;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;28;2019;8022;35;Quartiergruppe Neudorf;6;0;2;5;Haushalte mit zwei Erwachsenen;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;30;2013;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;30;2016;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;31;2013;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;31;2016;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;32;2012;8022;35;Quartiergruppe Neudorf;6;0;2;5;Haushalte mit zwei Erwachsenen;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;32;2017;8022;35;Quartiergruppe Neudorf;6;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;32;2018;8022;35;Quartiergruppe Neudorf;6;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;33;2012;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;33;2013;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;33;2014;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
103-114-47-198-114-144-11-164-132-63-239-2-81-125-192-249-128-55-254-138-170-165-58-188-179-121-157-190-17-75-125-26;1;2019;8023;22;Quartiergruppe Riethüsli;4;0;2;5;Haushalte mit zwei Erwachsenen;2017
103-114-47-198-114-144-11-164-132-63-239-2-81-125-192-249-128-55-254-138-170-165-58-188-179-121-157-190-17-75-125-26;2;2018;8023;22;Quartiergruppe Riethüsli;5;0;3;6;Haushalte mit drei oder mehr Erwachsenen;2017
103-114-47-198-114-144-11-164-132-63-239-2-81-125-192-249-128-55-254-138-170-165-58-188-179-121-157-190-17-75-125-26;3;2018;8023;22;Quartiergruppe Riethüsli;4;1;1;2;Eine erwachsene Person mit mindestens einer Person unter 18 Jahren;2017
103-114-47-198-114-144-11-164-132-63-239-2-81-125-192-249-128-55-254-138-170-165-58-188-179-121-157-190-17-75-125-26;4;2017;8023;22;Quartiergruppe Riethüsli;3;0;2;5;Haushalte mit zwei Erwachsenen;2017
103-183-24-245-60-53-17-155-76-159-155-242-11-42-151-238-147-93-6-206-248-224-167-33-39-90-181-17-22-123-63-208;3;2015;8022;32;Quartiergruppe Langgass - Heiligkreuz;3;1;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2011
103-183-24-245-60-53-17-155-76-159-155-242-11-42-151-238-147-93-6-206-248-224-167-33-39-90-181-17-22-123-63-208;3;2016;8022;32;Quartiergruppe Langgass - Heiligkreuz;3;1;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2011
103-183-24-245-60-53-17-155-76-159-155-242-11-42-151-238-147-93-6-206-248-224-167-33-39-90-181-17-22-123-63-208;3;2019;8022;32;Quartiergruppe Langgass - Heiligkreuz;3;1;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2011
103-183-24-245-60-53-17-155-76-159-155-242-11-42-151-238-147-93-6-206-248-224-167-33-39-90-181-17-22-123-63-208;4;2015;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2011
103-183-24-245-60-53-17-155-76-159-155-242-11-42-151-238-147-93-6-206-248-224-167-33-39-90-181-17-22-123-63-208;4;2016;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2011
103-183-24-245-60-53-17-155-76-159-155-242-11-42-151-238-147-93-6-206-248-224-167-33-39-90-181-17-22-123-63-208;5;2013;8022;32;Quartiergruppe Langgass - Heiligkreuz;3;0;2;5;Haushalte mit zwei Erwachsenen;2011
103-183-24-245-60-53-17-155-76-159-155-242-11-42-151-238-147-93-6-206-248-224-167-33-39-90-181-17-22-123-63-208;5;2014;8022;32;Quartiergruppe Langgass - Heiligkreuz;3;0;2;5;Haushalte mit zwei Erwachsenen;2011
103-183-24-245-60-53-17-155-76-159-155-242-11-42-151-238-147-93-6-206-248-224-167-33-39-90-181-17-22-123-63-208;5;2015;8022;32;Quartiergruppe Langgass - Heiligkreuz;3;0;2;5;Haushalte mit zwei Erwachsenen;2011
103-183-24-245-60-53-17-155-76-159-155-242-11-42-151-238-147-93-6-206-248-224-167-33-39-90-181-17-22-123-63-208;6;2018;8022;32;Quartiergruppe Langgass - Heiligkreuz;3;0;2;5;Haushalte mit zwei Erwachsenen;2011
103-183-24-245-60-53-17-155-76-159-155-242-11-42-151-238-147-93-6-206-248-224-167-33-39-90-181-17-22-123-63-208;8;2017;8022;32;Quartiergruppe Langgass - Heiligkreuz;3;0;2;5;Haushalte mit zwei Erwachsenen;2011
103-183-24-245-60-53-17-155-76-159-155-242-11-42-151-238-147-93-6-206-248-224-167-33-39-90-181-17-22-123-63-208;11;2019;8022;32;Quartiergruppe Langgass - Heiligkreuz;3;0;2;5;Haushalte mit zwei Erwachsenen;2011
103-183-24-245-60-53-17-155-76-159-155-242-11-42-151-238-147-93-6-206-248-224-167-33-39-90-181-17-22-123-63-208;12;2019;8022;32;Quartiergruppe Langgass - Heiligkreuz;3;1;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2011
103-183-24-245-60-53-17-155-76-159-155-242-11-42-151-238-147-93-6-206-248-224-167-33-39-90-181-17-22-123-63-208;17;2018;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2011
103-185-180-99-230-82-223-167-232-243-206-64-153-247-61-41-108-222-158-254-124-154-215-161-88-254-128-5-126-138-176-145;1;2019;8022;33;Quartiergruppe St.Fiden;4;0;1;1;Einpersonenhaushalt;2011
103-185-180-99-230-82-223-167-232-243-206-64-153-247-61-41-108-222-158-254-124-154-215-161-88-254-128-5-126-138-176-145;2;2011;8022;33;Quartiergruppe St.Fiden;4;0;2;5;Haushalte mit zwei Erwachsenen;2011
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;1;2016;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;2;2013;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;2;2017;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;2;5;Haushalte mit zwei Erwachsenen;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;3;2016;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;3;2019;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;4;2014;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;4;2018;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;4;2019;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;5;2013;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;6;2015;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;6;2017;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;6;2018;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;7;2015;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;2;5;Haushalte mit zwei Erwachsenen;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;8;2017;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;2;5;Haushalte mit zwei Erwachsenen;2013
104-113-39-91-5-115-206-154-171-186-226-39-252-51-233-205-59-119-198-13-183-255-127-161-158-47-69-238-142-216-134-211;9;2016;8022;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2013
104-132-88-220-183-183-175-181-166-220-200-173-41-56-2-194-133-243-213-39-210-7-173-212-206-151-224-203-105-206-153-190;3;2019;8022;32;Quartiergruppe Langgass - Heiligkreuz;3;1;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2013
104-132-88-220-183-183-175-181-166-220-200-173-41-56-2-194-133-243-213-39-210-7-173-212-206-151-224-203-105-206-153-190;4;2019;8022;32;Quartiergruppe Langgass - Heiligkreuz;4;1;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2013
104-132-88-220-183-183-175-181-166-220-200-173-41-56-2-194-133-243-213-39-210-7-173-212-206-151-224-203-105-206-153-190;6;2016;8022;32;Quartiergruppe Langgass - Heiligkreuz;6;0;2;5;Haushalte mit zwei Erwachsenen;2013
104-150-190-67-17-239-192-1-165-183-208-218-234-127-0-95-192-136-176-197-30-94-176-18-125-146-75-136-61-56-71-200;2;2013;8022;12;Quartiergruppe Bruggen;4;0;4;6;Haushalte mit drei oder mehr Erwachsenen;2011
104-150-190-67-17-239-192-1-165-183-208-218-234-127-0-95-192-136-176-197-30-94-176-18-125-146-75-136-61-56-71-200;2;2018;8022;12;Quartiergruppe Bruggen;4;0;3;6;Haushalte mit drei oder mehr Erwachsenen;2011
104-150-190-67-17-239-192-1-165-183-208-218-234-127-0-95-192-136-176-197-30-94-176-18-125-146-75-136-61-56-71-200;3;2016;8022;12;Quartiergruppe Bruggen;4;0;2;5;Haushalte mit zwei Erwachsenen;2011
104-150-190-67-17-239-192-1-165-183-208-218-234-127-0-95-192-136-176-197-30-94-176-18-125-146-75-136-61-56-71-200;4;2017;8022;12;Quartiergruppe Bruggen;4;0;2;5;Haushalte mit zwei Erwachsenen;2011
104-150-190-67-17-239-192-1-165-183-208-218-234-127-0-95-192-136-176-197-30-94-176-18-125-146-75-136-61-56-71-200;5;2017;8022;12;Quartiergruppe Bruggen;3;0;1;1;Einpersonenhaushalt;2011
104-150-190-67-17-239-192-1-165-183-208-218-234-127-0-95-192-136-176-197-30-94-176-18-125-146-75-136-61-56-71-200;5;2019;8022;12;Quartiergruppe Bruggen;3;0;1;1;Einpersonenhaushalt;2011
104-150-190-67-17-239-192-1-165-183-208-218-234-127-0-95-192-136-176-197-30-94-176-18-125-146-75-136-61-56-71-200;6;2012;8022;12;Quartiergruppe Bruggen;3;0;2;5;Haushalte mit zwei Erwachsenen;2011
104-150-190-67-17-239-192-1-165-183-208-218-234-127-0-95-192-136-176-197-30-94-176-18-125-146-75-136-61-56-71-200;6;2013;8022;12;Quartiergruppe Bruggen;3;0;2;5;Haushalte mit zwei Erwachsenen;2011
104-150-190-67-17-239-192-1-165-183-208-218-234-127-0-95-192-136-176-197-30-94-176-18-125-146-75-136-61-56-71-200;6;2016;8022;12;Quartiergruppe Bruggen;3;0;1;1;Einpersonenhaushalt;2011
104-150-190-67-17-239-192-1-165-183-208-218-234-127-0-95-192-136-176-197-30-94-176-18-125-146-75-136-61-56-71-200;6;2018;8022;12;Quartiergruppe Bruggen;3;0;1;1;Einpersonenhaushalt;2011
104-150-190-67-17-239-192-1-165-183-208-218-234-127-0-95-192-136-176-197-30-94-176-18-125-146-75-136-61-56-71-200;7;2012;8022;12;Quartiergruppe Bruggen;4;0;2;5;Haushalte mit zwei Erwachsenen;2011
104-150-190-67-17-239-192-1-165-183-208-218-234-127-0-95-192-136-176-197-30-94-176-18-125-146-75-136-61-56-71-200;8;2017;8022;12;Quartiergruppe Bruggen;2;0;2;5;Haushalte mit zwei Erwachsenen;2011
104-150-190-67-17-239-192-1-165-183-208-218-234-127-0-95-192-136-176-197-30-94-176-18-125-146-75-136-61-56-71-200;9;2015;8022;12;Quartiergruppe Bruggen;3;0;1;1;Einpersonenhaushalt;2011
104-233-67-156-113-112-124-210-160-134-118-83-12-12-171-81-157-21-28-204-229-136-105-74-47-121-253-40-245-97-160-118;1;2015;8022;22;Quartiergruppe Riethüsli;3;0;1;1;Einpersonenhaushalt;2011
104-233-67-156-113-112-124-210-160-134-118-83-12-12-171-81-157-21-28-204-229-136-105-74-47-121-253-40-245-97-160-118;2;2011;8022;22;Quartiergruppe Riethüsli;4;0;1;1;Einpersonenhaushalt;2011
104-233-67-156-113-112-124-210-160-134-118-83-12-12-171-81-157-21-28-204-229-136-105-74-47-121-253-40-245-97-160-118;2;2012;8022;22;Quartiergruppe Riethüsli;3;0;1;1;Einpersonenhaushalt;2011
104-233-67-156-113-112-124-210-160-134-118-83-12-12-171-81-157-21-28-204-229-136-105-74-47-121-253-40-245-97-160-118;3;2012;8022;22;Quartiergruppe Riethüsli;4;0;2;5;Haushalte mit zwei Erwachsenen;2011
104-233-67-156-113-112-124-210-160-134-118-83-12-12-171-81-157-21-28-204-229-136-105-74-47-121-253-40-245-97-160-118;3;2014;8022;22;Quartiergruppe Riethüsli;4;0;2;5;Haushalte mit zwei Erwachsenen;2011
104-233-67-156-113-112-124-210-160-134-118-83-12-12-171-81-157-21-28-204-229-136-105-74-47-121-253-40-245-97-160-118;3;2017;8022;22;Quartiergruppe Riethüsli;4;0;2;5;Haushalte mit zwei Erwachsenen;2011
104-233-67-156-113-112-124-210-160-134-118-83-12-12-171-81-157-21-28-204-229-136-105-74-47-121-253-40-245-97-160-118;3;2019;8022;22;Quartiergruppe Riethüsli;4;0;2;5;Haushalte mit zwei Erwachsenen;2011
104-233-67-156-113-112-124-210-160-134-118-83-12-12-171-81-157-21-28-204-229-136-105-74-47-121-253-40-245-97-160-118;4;2017;8022;22;Quartiergruppe Riethüsli;3;0;1;1;Einpersonenhaushalt;2011
